APT_PERSON,Total number of persons occupying  apartment units in the ward or community
APT_VACANT,Number of  apartment units that are vacant in the ward or community
APT_UC,Number of  apartment units that are under construction in the ward or community
APT_NA,Number of  apartment units that are inactive in the ward or community
CNV_NO_RES,Number of  converted structure units that are used for non-residential purposes in the ward or community
CNV_OCCPD,Number of  converted structure units that are occupied in the ward or community
CNV_OWNED,Number of  converted structure units that are owned by the resident in the ward or community
CNV_PERSON,Total number of persons occupying  converted structure units in the ward or community
CNV_VACANT,Number of  converted structure units that are vacant in the ward or community
CNV_UC,Number of  converted structure units that are under construction in the ward or community
CNV_NA,Number of  converted structure units that are inactive in the ward or community
DUP_NO_RES,Number of  duplex units that are used for non-residential purposes in the ward or community
DUP_OCCPD,Number of  duplex units that are occupied in the ward or community
DUP_OWNED,Number of  duplex units that are owned by the resident in the ward or community
DUP_PERSON,Total number of persons occupying  duplex units in the ward or community
DUP_VACANT,Number of  duplex units that are vacant in the ward or community
DUP_UC,Number of  duplex units that are under construction in the ward or community
DUP_NA,Number of  duplex units that are inactive in the ward or community
MFH_NO_RES,Number of  manufactured home units that are used for non-residential purposes in the ward or community
MFH_OCCPD,Number of  manufactured home units that are occupied in the ward or community
MFH_OWNED,Number of  manufactured home units that are owned by the resident in the ward or community
MFH_PERSON,Total number of persons occupying  manufactured home units in the ward or community
MFH_VACANT,Number of  manufactured home units that are vacant in the ward or community
MFH_UC,Number of  manufactured home units that are under construction in the ward or community
MFH_NA,Number of  manufactured home units that are inactive in the ward or community
MUL_NO_RES,Number of  multiplex units that are used for non-residential purposes in the ward or community
MUL_OCCPD,Number of  multiplex units that are occupied in the ward or community
MUL_OWNED,Number of  multiplex units that are owned by the resident in the ward or community
MUL_PERSON,Total number of persons occupying  multiplex units in the ward or community
MUL_VACANT,Number of  multiplex units that are vacant in the ward or community
MUL_UC,Number of  multiplex units that are under construction in the ward or community
MUL_NA,Number of  multiplex units that are inactive in the ward or community
OTH_NO_RES,Number of  other structure units that are used for non-residential purposes in the ward or community
OTH_OCCPD,Number of  other structure units that are occupied in the ward or community
OTH_OWNED,Number of  other structure units that are owned by the resident in the ward or community
OTH_PERSON,Total number of persons occupying  other structure units in the ward or community
OTH_VACANT,Number of  other structure units that are vacant in the ward or community
OTH_UC,Number of  other structure units that are under construction in the ward or community
OTH_NA,Number of  other structure units that are inactive in the ward or community
TWN_NO_RES,Number of  townhouse units that are used for non-residential purposes in the ward or community
TWN_OCCPD,Number of  townhouse units that are occupied in the ward or community
TWN_OWNED,Number of  townhouse units that are owned by the resident in the ward or community
TWN_PERSON,Total number of persons occupying  townhouse units in the ward or community
TWN_VACANT,Number of  townhouse units that are vacant in the ward or community
TWN_UC,Number of  townhouse units that are under construction in the ward or community
TWN_NA,Number of  townhouse units that are inactive in the ward or community
SF_NO_RES,Number of  single family units that are used for non-residential purposes in the ward or community
SF_OCCPD,Number of  single family units that are occupied in the ward or community
SF_OWNED,Number of  single family units that are owned by the resident in the ward or community
SF_PERSON,Total number of persons occupying  single family units in the ward or community
SF_VACANT,Number of  single family units that are vacant in the ward or community
SF_UC,Number of  single family units that are under construction in the ward or community
SF_NA,Number of  single family units that are inactive in the ward or community
OTH_STRTY,Other Structure Type
DWELSZ_1,Dwelling has 1 occupant
DWELSZ_2,Dwelling has 2 occupants
DWELSZ_3,Dwelling has 3 occupants
DWELSZ_4_5,Dwelling has 4 or 5 occupants
DWELSZ_6,Dwelling has 6 occupants
MALE_CNT,Total number of male residents in the ward or community
FEMALE_CNT,Total number of female residents in the ward or community
MALE_0_4,Total number of male residents aged 0 to 4 in the ward or community
MALE_5_14,Total number of male residents aged 5 to 14 in the ward or community
MALE_15_19,Total number of male residents aged 15 to 19 in the ward or community
MALE_20_24,Total number of male residents aged 20 to 24 in the ward or community
MALE_25_34,Total number of male residents aged 25 to 34 in the ward or community
MALE_35_44,Total number of male residents aged 35 to 44 in the ward or community
MALE_45_54,Total number of male residents aged 45 to 54 in the ward or community
MALE_55_64,Total number of male residents aged 55 to 64 in the ward or community
MALE_65_74,Total number of male residents aged 65 to 74 in the ward or community
MALE_75,Total number of male residents aged 75+ in the ward or community
FEM_0_4,Total number of female residents aged 0 to 4 in the ward or community
FEM_5_14,Total number of female residents aged 5 to 14 in the ward or community
FEM_15_19,Total number of female residents aged 15 to 19 in the ward or community
FEM_20_24,Total number of female residents aged 20 to 24 in the ward or community
FEM_25_34,Total number of female residents aged 25 to 34 in the ward or community
FEM_35_44,Total number of female residents aged 35 to 44 in the ward or community
FEM_45_54,Total number of female residents aged 45 to 54 in the ward or community
FEM_55_64,Total number of female residents aged 55 to 64 in the ward or community
FEM_65_74,Total number of female residents aged 65 to 74 in the ward or community
FEM_75,Total number of female residents aged 75+ in the ward or community
MF_0_4,Total number of male and female residents aged 0 to 4 in the ward or community
MF_5_14,Total number of male and female residents aged 5 to 14 in the ward or community
MF_15_19,Total number of male and female residents aged 15 to 19 in the ward or community
MF_20_24,Total number of male and female residents aged 20 to 24 in the ward or community
MF_25_34,Total number of male and female residents aged 25 to 34 in the ward or community
MF_35_44,Total number of male and female residents aged 35 to 44 in the ward or community
MF_45_54,Total number of male and female residents aged 45 to 54 in the ward or community
MF_55_64,Total number of male and female residents aged 55 to 64 in the ward or community
MF_65_74,Total number of male and female residents aged 65 to 74 in the ward or community
MF_75,Total number of male and female residents aged 75+ in the ward or community
